,pid,num_targets,target_w,target_d,iteration,time
0,1,16,40,200,0,0.0
1,1,16,40,200,1,6.511258363723755
2,1,16,40,200,2,4.450626373291016
3,1,16,40,200,3,2.817003011703491
4,1,16,40,200,4,2.2878642082214355
5,1,16,40,200,5,3.897188425064087
6,1,16,40,200,6,3.79524302482605
7,1,16,40,200,7,2.3175241947174072
8,1,16,40,200,8,2.0803768634796143
9,1,16,40,200,9,7.308908462524414
10,1,16,40,200,10,3.6129770278930664
11,1,16,40,200,11,2.0364608764648438
12,1,16,40,200,12,2.0343167781829834
13,1,16,40,200,13,1.841111660003662
14,1,16,40,200,14,3.696382761001587
15,1,16,40,200,15,2.2055153846740723
